"chemistry","Year","stationaryPower","ICCT_Region","ICCT_Country"
"LCO",2024,0,"European Union","Slovenia"
"LCO",2024,0,"European Union","Spain"
"LCO",2024,0,"European Union","Sweden"
"LCO",2024,0,"Other Europe","Albania"
"LCO",2024,0,"Other Europe","Azerbaijan"
"LCO",2024,0,"Other Europe","Belarus"
"LCO",2024,0,"Other Europe","Bosnia and Herzegovina"
"LCO",2024,0,"Other Europe","Georgia"
"LCO",2024,0,"Other Europe","Macedonia, FYR"
"LCO",2024,0,"Other Europe","Moldova"
"LCO",2024,0,"Other Europe","Montenegro"
"LCO",2024,0,"Other Europe","Russian Federation"
"LCO",2024,0,"Other Europe","Serbia"
"LCO",2024,0,"Other Europe","Ukraine"
"LCO",2024,0,"United Kingdom","United Kingdom"
"LCO",2024,0,"Canada","Canada"
"LCO",2024,0,"Mexico","Mexico"
"LCO",2024,0,"United States","United States"
"LCO",2024,0,"Brazil","Brazil"
"LCO",2024,0,"Other Latin America and Caribbean","Argentina"
"LCO",2024,0,"Other Latin America and Caribbean","Bolivia"
"LCO",2024,0,"Other Latin America and Caribbean","Chile"
"LCO",2024,0,"Other Latin America and Caribbean","Colombia"
"LCO",2024,0,"Other Latin America and Caribbean","Costa Rica"
"LCO",2024,0,"Other Latin America and Caribbean","Ecuador"
"LCO",2024,0,"Other Latin America and Caribbean","El Salvador"
"LCO",2024,0,"Other Latin America and Caribbean","Peru"
"LCO",2024,0,"Other Latin America and Caribbean","Trinidad and Tobago"
"LCO",2024,0,"Other Latin America and Caribbean","Uruguay"
"LCO",2024,0,"Other Latin America and Caribbean","Venezuela, RB"
"LCO",2024,0,"Africa","Algeria"
"LCO",2024,0,"Africa","Burundi"
"LCO",2024,0,"Africa","Kenya"
"LCO",2024,0,"Africa","Morocco"
"LCO",2024,0,"Africa","Nigeria"
"LCO",2024,0,"Africa","South Africa"
"LCO",2024,0,"Africa","Tunisia"
"LCO",2024,0,"Australia/NZ","Australia"
"LCO",2024,0,"Australia/NZ","New Zealand"
"LCO",2024,0,"Middle East","Egypt, Arab Rep."
"LCO",2024,0,"Middle East","Iran, Islamic Rep."
"LCO",2024,0,"Middle East","Iraq"
"LCO",2024,0,"Middle East","Israel"
"LCO",2024,0,"Middle East","Kuwait"
"LCO",2024,0,"Middle East","Oman"
"LCO",2024,0,"Middle East","Qatar"
"LCO",2024,0,"Middle East","Saudi Arabia"
"LCO",2024,0,"Middle East","Turkey"
"LCO",2024,0,"Middle East","United Arab Emirates"
"LCO",2025,0,"China","China"
"LCO",2025,0,"ASEAN","Indonesia"
"LCO",2025,0,"ASEAN","Malaysia"
"LCO",2025,0,"ASEAN","Philippines"
"LCO",2025,0,"ASEAN","Singapore"
"LCO",2025,0,"ASEAN","Thailand"
"LCO",2025,0,"ASEAN","Vietnam"
"LCO",2025,0,"India","India"
"LCO",2025,0,"Japan","Japan"
"LCO",2025,0,"Other Asia Pacific","Bangladesh"
"LCO",2025,0,"Other Asia Pacific","Kazakhstan"
"LCO",2025,0,"Other Asia Pacific","Mongolia"
"LCO",2025,0,"Other Asia Pacific","Pakistan"
"LCO",2025,0,"Other Asia Pacific","Sri Lanka"
"LCO",2025,0,"Other Asia Pacific","Turkmenistan"
"LCO",2025,0,"Other Asia Pacific","Uzbekistan"
"LCO",2025,0,"South Korea","Korea, Rep."
"LCO",2025,0,"EFTA","Iceland"
"LCO",2025,0,"EFTA","Norway"
"LCO",2025,0,"EFTA","Switzerland"
"LCO",2025,0,"European Union","Austria"
"LCO",2025,0,"European Union","Belgium"
"LCO",2025,0,"European Union","Bulgaria"
"LCO",2025,0,"European Union","Croatia"
"LCO",2025,0,"European Union","Cyprus"
"LCO",2025,0,"European Union","Czechia"
"LCO",2025,0,"European Union","Denmark"
"LCO",2025,0,"European Union","Estonia"
"LCO",2025,0,"European Union","Finland"
"LCO",2025,0,"European Union","France"
"LCO",2025,0,"European Union","Germany"
"LCO",2025,0,"European Union","Greece"
"LCO",2025,0,"European Union","Hungary"
"LCO",2025,0,"European Union","Ireland"
"LCO",2025,0,"European Union","Italy"
"LCO",2025,0,"European Union","Latvia"
"LCO",2025,0,"European Union","Lithuania"
"LCO",2025,0,"European Union","Luxembourg"
"LCO",2025,0,"European Union","Malta"
"LCO",2025,0,"European Union","Netherlands"
"LCO",2025,0,"European Union","Poland"
"LCO",2025,0,"European Union","Portugal"
"LCO",2025,0,"European Union","Romania"
"LCO",2025,0,"European Union","Slovak Republic"
"LCO",2025,0,"European Union","Slovenia"
"LCO",2025,0,"European Union","Spain"
"LCO",2025,0,"European Union","Sweden"
"LCO",2025,0,"Other Europe","Albania"
"LCO",2025,0,"Other Europe","Azerbaijan"
"LCO",2025,0,"Other Europe","Belarus"
"LCO",2025,0,"Other Europe","Bosnia and Herzegovina"
"LCO",2025,0,"Other Europe","Georgia"
"LCO",2025,0,"Other Europe","Macedonia, FYR"
"LCO",2025,0,"Other Europe","Moldova"
"LCO",2025,0,"Other Europe","Montenegro"
"LCO",2025,0,"Other Europe","Russian Federation"
"LCO",2025,0,"Other Europe","Serbia"
"LCO",2025,0,"Other Europe","Ukraine"
"LCO",2025,0,"United Kingdom","United Kingdom"
"LCO",2025,0,"Canada","Canada"
"LCO",2025,0,"Mexico","Mexico"
"LCO",2025,0,"United States","United States"
"LCO",2025,0,"Brazil","Brazil"
"LCO",2025,0,"Other Latin America and Caribbean","Argentina"
"LCO",2025,0,"Other Latin America and Caribbean","Bolivia"
"LCO",2025,0,"Other Latin America and Caribbean","Chile"
"LCO",2025,0,"Other Latin America and Caribbean","Colombia"
"LCO",2025,0,"Other Latin America and Caribbean","Costa Rica"
"LCO",2025,0,"Other Latin America and Caribbean","Ecuador"
"LCO",2025,0,"Other Latin America and Caribbean","El Salvador"
"LCO",2025,0,"Other Latin America and Caribbean","Peru"
"LCO",2025,0,"Other Latin America and Caribbean","Trinidad and Tobago"
"LCO",2025,0,"Other Latin America and Caribbean","Uruguay"
"LCO",2025,0,"Other Latin America and Caribbean","Venezuela, RB"
"LCO",2025,0,"Africa","Algeria"
"LCO",2025,0,"Africa","Burundi"
"LCO",2025,0,"Africa","Kenya"
"LCO",2025,0,"Africa","Morocco"
"LCO",2025,0,"Africa","Nigeria"
"LCO",2025,0,"Africa","South Africa"
"LCO",2025,0,"Africa","Tunisia"
"LCO",2025,0,"Australia/NZ","Australia"
"LCO",2025,0,"Australia/NZ","New Zealand"
"LCO",2025,0,"Middle East","Egypt, Arab Rep."
"LCO",2025,0,"Middle East","Iran, Islamic Rep."
"LCO",2025,0,"Middle East","Iraq"
"LCO",2025,0,"Middle East","Israel"
"LCO",2025,0,"Middle East","Kuwait"
"LCO",2025,0,"Middle East","Oman"
"LCO",2025,0,"Middle East","Qatar"
"LCO",2025,0,"Middle East","Saudi Arabia"
"LCO",2025,0,"Middle East","Turkey"
"LCO",2025,0,"Middle East","United Arab Emirates"
"LCO",2026,0,"China","China"
"LCO",2026,0,"ASEAN","Indonesia"
"LCO",2026,0,"ASEAN","Malaysia"
"LCO",2026,0,"ASEAN","Philippines"
"LCO",2026,0,"ASEAN","Singapore"
"LCO",2026,0,"ASEAN","Thailand"
"LCO",2026,0,"ASEAN","Vietnam"
"LCO",2026,0,"India","India"
"LCO",2026,0,"Japan","Japan"
"LCO",2026,0,"Other Asia Pacific","Bangladesh"
"LCO",2026,0,"Other Asia Pacific","Kazakhstan"
"LCO",2026,0,"Other Asia Pacific","Mongolia"
"LCO",2026,0,"Other Asia Pacific","Pakistan"
"LCO",2026,0,"Other Asia Pacific","Sri Lanka"
"LCO",2026,0,"Other Asia Pacific","Turkmenistan"
"LCO",2026,0,"Other Asia Pacific","Uzbekistan"
"LCO",2026,0,"South Korea","Korea, Rep."
"LCO",2026,0,"EFTA","Iceland"
"LCO",2026,0,"EFTA","Norway"
"LCO",2026,0,"EFTA","Switzerland"
"LCO",2026,0,"European Union","Austria"
"LCO",2026,0,"European Union","Belgium"
"LCO",2026,0,"European Union","Bulgaria"
"LCO",2026,0,"European Union","Croatia"
"LCO",2026,0,"European Union","Cyprus"
"LCO",2026,0,"European Union","Czechia"
"LCO",2026,0,"European Union","Denmark"
"LCO",2026,0,"European Union","Estonia"
"LCO",2026,0,"European Union","Finland"
"LCO",2026,0,"European Union","France"
"LCO",2026,0,"European Union","Germany"
"LCO",2026,0,"European Union","Greece"
"LCO",2026,0,"European Union","Hungary"
"LCO",2026,0,"European Union","Ireland"
"LCO",2026,0,"European Union","Italy"
"LCO",2026,0,"European Union","Latvia"
"LCO",2026,0,"European Union","Lithuania"
"LCO",2026,0,"European Union","Luxembourg"
"LCO",2026,0,"European Union","Malta"
"LCO",2026,0,"European Union","Netherlands"
"LCO",2026,0,"European Union","Poland"
"LCO",2026,0,"European Union","Portugal"
"LCO",2026,0,"European Union","Romania"
"LCO",2026,0,"European Union","Slovak Republic"
"LCO",2026,0,"European Union","Slovenia"
"LCO",2026,0,"European Union","Spain"
"LCO",2026,0,"European Union","Sweden"
"LCO",2026,0,"Other Europe","Albania"
"LCO",2026,0,"Other Europe","Azerbaijan"
"LCO",2026,0,"Other Europe","Belarus"
"LCO",2026,0,"Other Europe","Bosnia and Herzegovina"
"LCO",2026,0,"Other Europe","Georgia"
"LCO",2026,0,"Other Europe","Macedonia, FYR"
"LCO",2026,0,"Other Europe","Moldova"
"LCO",2026,0,"Other Europe","Montenegro"
"LCO",2026,0,"Other Europe","Russian Federation"
"LCO",2026,0,"Other Europe","Serbia"
"LCO",2026,0,"Other Europe","Ukraine"
"LCO",2026,0,"United Kingdom","United Kingdom"
"LCO",2026,0,"Canada","Canada"
"LCO",2026,0,"Mexico","Mexico"
"LCO",2026,0,"United States","United States"
"LCO",2026,0,"Brazil","Brazil"
"LCO",2026,0,"Other Latin America and Caribbean","Argentina"
"LCO",2026,0,"Other Latin America and Caribbean","Bolivia"
"LCO",2026,0,"Other Latin America and Caribbean","Chile"
"LCO",2026,0,"Other Latin America and Caribbean","Colombia"
"LCO",2026,0,"Other Latin America and Caribbean","Costa Rica"
"LCO",2026,0,"Other Latin America and Caribbean","Ecuador"
"LCO",2026,0,"Other Latin America and Caribbean","El Salvador"
"LCO",2026,0,"Other Latin America and Caribbean","Peru"
"LCO",2026,0,"Other Latin America and Caribbean","Trinidad and Tobago"
"LCO",2026,0,"Other Latin America and Caribbean","Uruguay"
"LCO",2026,0,"Other Latin America and Caribbean","Venezuela, RB"
"LCO",2026,0,"Africa","Algeria"
"LCO",2026,0,"Africa","Burundi"
"LCO",2026,0,"Africa","Kenya"
"LCO",2026,0,"Africa","Morocco"
"LCO",2026,0,"Africa","Nigeria"
"LCO",2026,0,"Africa","South Africa"
"LCO",2026,0,"Africa","Tunisia"
"LCO",2026,0,"Australia/NZ","Australia"
"LCO",2026,0,"Australia/NZ","New Zealand"
"LCO",2026,0,"Middle East","Egypt, Arab Rep."
"LCO",2026,0,"Middle East","Iran, Islamic Rep."
"LCO",2026,0,"Middle East","Iraq"
"LCO",2026,0,"Middle East","Israel"
"LCO",2026,0,"Middle East","Kuwait"
"LCO",2026,0,"Middle East","Oman"
"LCO",2026,0,"Middle East","Qatar"
"LCO",2026,0,"Middle East","Saudi Arabia"
"LCO",2026,0,"Middle East","Turkey"
"LCO",2026,0,"Middle East","United Arab Emirates"
"LCO",2027,0,"China","China"
"LCO",2027,0,"ASEAN","Indonesia"
"LCO",2027,0,"ASEAN","Malaysia"
"LCO",2027,0,"ASEAN","Philippines"
"LCO",2027,0,"ASEAN","Singapore"
"LCO",2027,0,"ASEAN","Thailand"
"LCO",2027,0,"ASEAN","Vietnam"
"LCO",2027,0,"India","India"
"LCO",2027,0,"Japan","Japan"
"LCO",2027,0,"Other Asia Pacific","Bangladesh"
"LCO",2027,0,"Other Asia Pacific","Kazakhstan"
"LCO",2027,0,"Other Asia Pacific","Mongolia"
"LCO",2027,0,"Other Asia Pacific","Pakistan"
"LCO",2027,0,"Other Asia Pacific","Sri Lanka"
"LCO",2027,0,"Other Asia Pacific","Turkmenistan"
"LCO",2027,0,"Other Asia Pacific","Uzbekistan"
"LCO",2027,0,"South Korea","Korea, Rep."
"LCO",2027,0,"EFTA","Iceland"
"LCO",2027,0,"EFTA","Norway"
"LCO",2027,0,"EFTA","Switzerland"
"LCO",2027,0,"European Union","Austria"
"LCO",2027,0,"European Union","Belgium"
"LCO",2027,0,"European Union","Bulgaria"
"LCO",2027,0,"European Union","Croatia"
"LCO",2027,0,"European Union","Cyprus"
"LCO",2027,0,"European Union","Czechia"
"LCO",2027,0,"European Union","Denmark"
"LCO",2027,0,"European Union","Estonia"
"LCO",2027,0,"European Union","Finland"
"LCO",2027,0,"European Union","France"
"LCO",2027,0,"European Union","Germany"
"LCO",2027,0,"European Union","Greece"
"LCO",2027,0,"European Union","Hungary"
"LCO",2027,0,"European Union","Ireland"
"LCO",2027,0,"European Union","Italy"
"LCO",2027,0,"European Union","Latvia"
"LCO",2027,0,"European Union","Lithuania"
"LCO",2027,0,"European Union","Luxembourg"
"LCO",2027,0,"European Union","Malta"
"LCO",2027,0,"European Union","Netherlands"
"LCO",2027,0,"European Union","Poland"
"LCO",2027,0,"European Union","Portugal"
"LCO",2027,0,"European Union","Romania"
"LCO",2027,0,"European Union","Slovak Republic"
"LCO",2027,0,"European Union","Slovenia"
"LCO",2027,0,"European Union","Spain"
"LCO",2027,0,"European Union","Sweden"
"LCO",2027,0,"Other Europe","Albania"
"LCO",2027,0,"Other Europe","Azerbaijan"
"LCO",2027,0,"Other Europe","Belarus"
"LCO",2027,0,"Other Europe","Bosnia and Herzegovina"
"LCO",2027,0,"Other Europe","Georgia"
"LCO",2027,0,"Other Europe","Macedonia, FYR"
"LCO",2027,0,"Other Europe","Moldova"
"LCO",2027,0,"Other Europe","Montenegro"
"LCO",2027,0,"Other Europe","Russian Federation"
"LCO",2027,0,"Other Europe","Serbia"
"LCO",2027,0,"Other Europe","Ukraine"
"LCO",2027,0,"United Kingdom","United Kingdom"
"LCO",2027,0,"Canada","Canada"
"LCO",2027,0,"Mexico","Mexico"
"LCO",2027,0,"United States","United States"
"LCO",2027,0,"Brazil","Brazil"
"LCO",2027,0,"Other Latin America and Caribbean","Argentina"
"LCO",2027,0,"Other Latin America and Caribbean","Bolivia"
"LCO",2027,0,"Other Latin America and Caribbean","Chile"
"LCO",2027,0,"Other Latin America and Caribbean","Colombia"
"LCO",2027,0,"Other Latin America and Caribbean","Costa Rica"
"LCO",2027,0,"Other Latin America and Caribbean","Ecuador"
"LCO",2027,0,"Other Latin America and Caribbean","El Salvador"
"LCO",2027,0,"Other Latin America and Caribbean","Peru"
"LCO",2027,0,"Other Latin America and Caribbean","Trinidad and Tobago"
"LCO",2027,0,"Other Latin America and Caribbean","Uruguay"
"LCO",2027,0,"Other Latin America and Caribbean","Venezuela, RB"
"LCO",2027,0,"Africa","Algeria"
"LCO",2027,0,"Africa","Burundi"
"LCO",2027,0,"Africa","Kenya"
"LCO",2027,0,"Africa","Morocco"
"LCO",2027,0,"Africa","Nigeria"
"LCO",2027,0,"Africa","South Africa"
"LCO",2027,0,"Africa","Tunisia"
"LCO",2027,0,"Australia/NZ","Australia"
"LCO",2027,0,"Australia/NZ","New Zealand"
"LCO",2027,0,"Middle East","Egypt, Arab Rep."
"LCO",2027,0,"Middle East","Iran, Islamic Rep."
"LCO",2027,0,"Middle East","Iraq"
"LCO",2027,0,"Middle East","Israel"
"LCO",2027,0,"Middle East","Kuwait"
"LCO",2027,0,"Middle East","Oman"
"LCO",2027,0,"Middle East","Qatar"
"LCO",2027,0,"Middle East","Saudi Arabia"
"LCO",2027,0,"Middle East","Turkey"
"LCO",2027,0,"Middle East","United Arab Emirates"
"LCO",2028,0,"China","China"
"LCO",2028,0,"ASEAN","Indonesia"
"LCO",2028,0,"ASEAN","Malaysia"
"LCO",2028,0,"ASEAN","Philippines"
"LCO",2028,0,"ASEAN","Singapore"
"LCO",2028,0,"ASEAN","Thailand"
"LCO",2028,0,"ASEAN","Vietnam"
"LCO",2028,0,"India","India"
"LCO",2028,0,"Japan","Japan"
"LCO",2028,0,"Other Asia Pacific","Bangladesh"
"LCO",2028,0,"Other Asia Pacific","Kazakhstan"
"LCO",2028,0,"Other Asia Pacific","Mongolia"
"LCO",2028,0,"Other Asia Pacific","Pakistan"
"LCO",2028,0,"Other Asia Pacific","Sri Lanka"
"LCO",2028,0,"Other Asia Pacific","Turkmenistan"
"LCO",2028,0,"Other Asia Pacific","Uzbekistan"
"LCO",2028,0,"South Korea","Korea, Rep."
"LCO",2028,0,"EFTA","Iceland"
"LCO",2028,0,"EFTA","Norway"
"LCO",2028,0,"EFTA","Switzerland"
"LCO",2028,0,"European Union","Austria"
"LCO",2028,0,"European Union","Belgium"
"LCO",2028,0,"European Union","Bulgaria"
"LCO",2028,0,"European Union","Croatia"
"LCO",2028,0,"European Union","Cyprus"
"LCO",2028,0,"European Union","Czechia"
